date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-01-30,3.1969261236824464,3.196926123488909,3.19692612413631,38676507640
2025-01-31,3.210919291376598,3.21091929116153,3.2109192918905394,38676507640
2025-02-01,3.2249124590707505,3.224912458810782,3.2249124597030083,38676507640
2025-02-02,3.238905626764902,3.2389056264688425,3.238905627506218,38676507640
2025-02-03,3.2528987944590546,3.2528987941238885,3.2528987953005872,38676507640
2025-01-28,-2.217373457956885,-2.5223533482198537,-1.9149668951983232,38676661854
2025-01-29,-2.236242233465814,-2.566355391261278,-1.936115666667741,38676661854
2025-01-30,-2.255111008974744,-2.575462316297306,-1.954648514394802,38676661854
2025-01-31,-2.2739797844836733,-2.5631867859518542,-1.9658253596335977,38676661854
2025-02-01,-2.2928485599926023,-2.6011035571317636,-1.9698289069514452,38676661854
2025-02-02,-2.3117173355015312,-2.603427206338699,-2.001531261760234,38676661854
2025-02-03,-2.330586111010461,-2.641640089139638,-2.0143747847364257,38676661854
2025-02-04,-2.34945488651939,-2.6487572670018134,-2.0591506845669176,38676661854
2025-02-05,-2.3683236620283195,-2.685893347949699,-2.0579261351030906,38676661854
2025-02-06,-2.3871924375372484,-2.7038902364540003,-2.0909355038347304,38676661854
2025-02-07,-2.4060612130461774,-2.688362617206335,-2.121110926541716,38676661854
2025-02-08,-2.424929988555107,-2.7720817488831346,-2.1111400866451717,38676661854
2025-02-09,-2.443798764064036,-2.738687667409104,-2.146844697958866,38676661854
2025-02-10,-2.462667539572965,-2.77837247182102,-2.1547665571586223,38676661854
2025-02-11,-2.4815363150818945,-2.782165584735818,-2.154598827656574,38676661854
2025-02-12,-2.500405090590824,-2.8054701239372886,-2.189554466370922,38676661854
2025-02-13,-2.5192738660997533,-2.834661849453283,-2.2403526611314515,38676661854
2025-02-14,-2.5381426416086827,-2.8555321597314607,-2.2467341810105,38676661854
2025-02-15,-2.5570114171176113,-2.8686581783541523,-2.2380079433711413,38676661854
2025-02-16,-2.5758801926265407,-2.8884823955442536,-2.2791167362173725,38676661854
2025-02-17,-2.59474896813547,-2.8811782954005003,-2.2860941672554156,38676661854
2025-02-18,-2.6136177436443995,-2.934252755984933,-2.3035939519493445,38676661854
2025-02-19,-2.632486519153329,-2.910896874645309,-2.336281006759074,38676661854
2025-02-20,-2.6513552946622574,-2.9409474756427065,-2.352802950625437,38676661854
2025-02-21,-2.6702240701711877,-2.953063003818308,-2.3777185965697014,38676661854
2025-02-22,-2.689092845680116,-2.984242161752649,-2.3872078183571523,38676661854
2025-02-23,-2.7079616211890456,-3.0085750881259483,-2.4091797673566107,38676661854
2025-02-24,-2.7268303966979737,-3.0289124940246315,-2.4320199662563353,38676661854
2025-01-14,1.2491725463143304,0.7312551427826771,1.7430696924776128,38676704412
2025-01-15,1.25077958033662,0.7809908106069703,1.7121190930093302,38676704412
2025-01-16,1.2523866143589095,0.7914802490124426,1.7614311981233284,38676704412
2025-01-17,1.2539936483811993,0.7738287631305759,1.7206489265943536,38676704412
2025-01-18,1.255600682403489,0.777993189112958,1.7047448924316755,38676704412
2025-01-19,1.2572077164257787,0.8011926937207889,1.7250694843488532,38676704412
2025-01-20,1.2588147504480682,0.7508587380156929,1.734497633434696,38676704412
2025-01-21,1.260421784470358,0.7921575870001579,1.7358947538606353,38676704412
2025-01-22,1.2620288184926478,0.7894570011983094,1.734551426729865,38676704412
2025-01-23,1.2636358525149374,0.7773357403656199,1.7511184717734793,38676704412
2025-01-24,1.265242886537227,0.7382586708697225,1.7818759031913494,38676704412
2025-01-25,1.2668499205595167,0.8227136272645473,1.7552755454481794,38676704412
2025-01-26,1.2684569545818065,0.7844586602256822,1.7613284099588595,38676704412
2025-01-27,1.270063988604096,0.7784376503571026,1.751105241440855,38676704412
2025-01-28,1.2716710226263856,0.7927898129127374,1.73641437818926,38676704412
2025-01-29,1.2732780566486754,0.7888694625431634,1.7569413864388492,38676704412
2025-01-30,1.274885090670965,0.786721641484658,1.727046529128902,38676704412
2025-01-31,1.2764921246932546,0.8019977560125297,1.746675603085368,38676704412
2025-02-01,1.2780991587155444,0.8104747883035776,1.7501109645017472,38676704412
2025-02-02,1.2797061927378341,0.805764461372694,1.7684262789141882,38676704412
2025-02-03,1.2813132267601237,0.7934843749987912,1.7752077958356944,38676704412
2025-02-04,1.2829202607824133,0.774054873515624,1.7771805491130497,38676704412
2025-02-05,1.284527294804703,0.7979373082557704,1.7387947172290343,38676704412
2025-02-06,1.2861343288269929,0.787161744150981,1.7722714243342372,38676704412
2025-02-07,1.2877413628492824,0.7974896457524028,1.7595151350685316,38676704412
2025-02-08,1.289348396871572,0.8013699604720115,1.7728449912485649,38676704412
2025-02-09,1.2909554308938616,0.8242653147431364,1.77459833075716,38676704412
2025-02-10,1.2925624649161511,0.8216024556095081,1.7705617936859663,38676704412
2024-11-12,1.017667106559208,1.0176671065159135,1.0176671066055263,38676726059
2024-11-13,1.0353322494355628,1.0353322493855743,1.0353322494872346,38676726059
2024-11-14,1.0529973923119176,1.052997392261769,1.0529973923661269,38676726059
2024-11-15,1.0706625351882728,1.0706625351251395,1.0706625352375794,38676726059
2024-11-16,1.0883276780646276,1.0883276780039375,1.0883276781302162,38676726059
2024-11-17,1.1059928209409824,1.1059928208668925,1.1059928210061882,38676726059
2024-11-18,1.1236579638173374,1.12365796371549,1.1236579638956057,38676726059
2024-11-19,1.1413231066936924,1.141323106397625,1.1413231067919336,38676726059
2024-11-20,1.1589882495700472,1.158988249072488,1.1589882497568547,38676726059
2024-11-21,1.1766533924464022,1.1766533915524424,1.1766533928204046,38676726059
2024-11-22,1.1943185353227572,1.1943185341610925,1.194318535924031,38676726059
2024-11-23,1.211983678199112,1.211983676588976,1.2119836790394607,38676726059
2024-11-24,1.2296488210754668,1.229648819078917,1.2296488221192083,38676726059
2024-11-25,1.2473139639518218,1.2473139615601936,1.2473139653761616,38676726059
2024-11-26,1.2649791068281768,1.2649791037746183,1.2649791085785913,38676726059
2024-11-27,1.2826442497045316,1.2826442463002807,1.282644251838144,38676726059
2024-11-28,1.3003093925808868,1.3003093888264476,1.3003093951771745,38676726059
2024-11-29,1.3179745354572412,1.3179745311728348,1.3179745384100152,38676726059
2024-11-30,1.3356396783335964,1.3356396735136704,1.335639681747867,38676726059
